667,282
931,62
807,262
110,220
940,61
711,255
406,17
854,264
520,75
200,212
841,266
682,279
400,17
354,47
641,291
820,273
353,48
329,41
666,283
477,7
143,233
470,5
240,204
447,32
538,100
701,251
304,107
900,69
402,19
607,305
401,18
681,277
534,101
467,36
142,236
106,220
120,226
134,232
800,275
637,292
530,101
135,228
242,204
921,65
801,274
502,81
740,247
623,298
830,272
471,6
741,247
104,224
644,289
488,9
500,83
532,101
505,83
747,248
113,219
486,9
371,54
950,60
326,37
459,15
506,77
245,204
903,69
518,70
101,220
601,301
575,92
503,80
342,44
730,244
311,105
436,25
212,203
141,234
531,103
223,208
107,220
573,90
840,267
221,209
321,41
712,254
171,216
417,22
514,73
904,69
630,297
920,64
570,92
172,215
132,231
420,23
640,294
621,299
706,253
418,21
345,46
210,210
524,71
487,9
762,239
661,285
580,86
576,87
322,40
642,290
624,300
476,7
521,75
337,56
348,46
660,285
600,306
565,70
405,17
861,269
736,246
704,252
466,35
720,256
605,301
320,37
490,10
21B,88
812,275
220,208
404,17
738,246
866,268
606,304
652,306
625,300
347,51
653,288
343,45
323,39
662,281
203,211
901,68
307,104
856,264
651,288
571,91
480,8
491,10
860,270
421,23
951,59
603,304
313,112
372,53
458,14
710,254
586,89
656,295
515,79
105,220
370,53
426,28
448,31
346,46
327,41
408,20
608,288
613,304
760,237
636,293
339,43
250,207
201,213
131,229
649,288
523,71
410,20
303,108
349,46
541,100
804,274
560,94
513,78
350,47
507,84
540,99
732,249
300,111
243,206
144,233
202,212
130,228
853,264
536,102
140,233
851,263
902,67
556,95
766,240
932,63
241,205
310,106
428,30
528,85
680,278
780,243
352,47
457,12
602,309
705,250
761,238
715,250
340,55
767,241
407,17
360,49
429,27
746,248
548,97
610,304
604,306
336,43
930,63
305,111
634,296
302,109
670,280
108,220
702,252
501,82
862,269
572,88
733,244
437,25
111,218
301,110
446,31
222,208
403,16
512,79
324,38
609,307
170,215
438,25
133,230
713,254
552,96
852,264
922,64
145,234
850,264
449,31
842,267
612,308
206,214
611,303
770,242
427,29
516,76
731,245
650,288
700,250
361,50
328,41
620,300
325,42
416,21
